dsmz_list,dsmz_risk_category,A,B,C,D,E,F,G,H,I,overall_score
MYCOPLASMA FELIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA FERMENTANS,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA FLOCCULARE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA GALLINARUM,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA GALLISEPTICUM,2,2,-,2,-,3,-,-,2,-,1
MYCOPLASMA GALLOPAVORIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA GATEAE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA GENITALIUM,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA GYPSIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA HAEMOCANIS,-,2,-,-,-,2,-,-,-,-,2
MYCOPLASMA HAEMOFELIS,-,2,-,2,-,2,-,-,-,-,2
MYCOPLASMA HAEMOMURIS,-,2,-,2,-,2,-,-,-,-,2
MYCOPLASMA HOMINIS,2,2,2,2,2,2,2,-,2,2,2
MYCOPLASMA HYOPNEUMONIAE,-,2,-,2,-,3,-,-,2,-,1
MYCOPLASMA HYORHINIS,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA HYOSYNOVIAE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA IMMITANS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA IOWAE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA LIPOFACIENS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA MACULOSUM,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA MELEAGRIDIS,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA MICROTI,2,-,-,2,-,2,-,-,-,-,2
MYCOPLASMA MYCOIDES,2,2,-,2,-,3  4,-,-,2  3,-,1
MYCOPLASMA NEUROLYTICUM,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA ORALE,-,-,2,1,-,2,-,-,1,-,1
MYCOPLASMA OVIS,-,2,-,2,-,2,-,-,-,-,2
MYCOPLASMA PHOCACEREBRALE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA PHOCARHINIS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA PHOCIDAE,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA PNEUMONIAE,-,2,2,2,2,2,2,2,2,2,2
MYCOPLASMA PULMONIS,2,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA PUTREFACIENS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA SALIVARIUM,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA SPUMANS,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA STURNI,2,-,-,2,-,2,-,-,2,-,2
MYCOPLASMA SUIPNEUMONIAE,-,2,-,2,-,2,-,-,-,-,2
MYCOPLASMA VERECUNDUM,-,2,-,2,-,2,-,-,2,-,2
MYCOPLASMA WENYONII,-,2,-,2,-,2,-,-,-,-,2
MYROIDES ODORATUS,2,2,1,2,-,-,-,-,2,-,2
MYXOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
,,,,,,,,,,,NA
NAKAMURELLA,1,-,-,1,-,-,-,-,-,-,1
NANNOCYSTIS,1,-,-,1,-,-,-,-,1,-,1
NATRANAERO,1,-,-,-,-,-,-,-,-,-,1
NATRONIELLA,1,-,-,1,-,-,-,-,1,-,1
NATRONINCOLA,1,-,-,1,-,-,-,-,-,-,1
NAUTILIA,1,-,-,1,-,-,-,-,-,-,1
NAXIBACTER,1,-,-,-,-,-,-,-,-,-,1
NEISSERIA ELONGATA,2,2,-,2,-,2,-,-,2,-,2
NEISSERIA FLAVESCENS,2,2,-,2,-,2,-,-,2,-,2
NEISSERIA GONORRHOEAE,2,2,2,2,2,2,2,2,2,2,2
NEISSERIA IGUANAE,-,2,-,2,-,2,-,-,2,-,2
NEISSERIA LACTAMICA,2,2,2,2,-,2,-,-,2,-,2
NEISSERIA MENINGITIDIS,2,2,2,2,2,2,2,2,2,2,2
NEISSERIA MUCOSA,2,2,2,2,-,2,-,-,2,-,2
NEISSERIA SICCA,2,2,1,2,-,2,-,-,2,-,1
NEISSERIA SUBFLAVA,2,2,-,2,-,2,-,-,2,-,2
NEISSERIA WEAVERI,2,2,-,2,-,2,-,-,2,-,2
NEORICKETTSIA SENNETSU,-,-,-,-,-,-,2,-,2,-,2
NEPTUNOMONAS,1,-,-,1,-,-,-,-,-,-,1
NEREIDA,1,-,-,1,-,-,-,-,-,-,1
NESIOTOBACTER,1,-,-,1,-,-,-,-,-,-,1
NESTERENKONIA,1,-,-,1,-,-,-,-,1,-,1
NEVSKIA,1,-,-,1,-,-,-,-,1,-,1
NIASTELLA,1,-,-,-,-,-,-,-,-,-,1
NICOLETELLA,1,-,-,-,-,-,-,-,-,-,1
NISAEA,1,-,-,-,-,-,-,-,-,-,1
NITRATIFRACTOR,1,-,-,-,-,-,-,-,-,-,1
NITRATIREDUCTOR,1,-,-,1,-,-,-,-,-,-,1
NITRATIRUPTOR,1,-,-,-,-,-,-,-,-,-,1
NITRILIRUPTOR,1,-,-,-,-,-,-,-,-,-,1
NITRINCOLA,1,-,-,-,-,-,-,-,-,-,1
NITROBACTER,1,-,-,1,-,-,-,-,1,-,1
NOCARDIA ABSCESSUS,2,-,-,2,-,-,-,-,-,-,2
NOCARDIA AFRICANA,2,-,-,2,-,-,-,-,-,-,2
NOCARDIA ALTAMIRENSIS,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA ARAOENSIS,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA ARTHRITIDIS,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA ASIATICA,2,-,-,2,-,-,-,-,-,-,2
NOCARDIA ASTEROIDES,2,2,-,2,2,2,2,2,2,2,2
NOCARDIA BLACKLOCKIAE,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA BRASILIENSIS,2,2,2,2,-,2,2,2,2,2,2
NOCARDIA CONCAVA,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA CYRIACIGEORGICA,2,-,-,2,-,-,-,-,-,-,2
NOCARDIA ELEGANS,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA EXALBIDA,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA FARCINICA,2,2,-,2,2,2,2,2,2,2,2
NOCARDIA HIGOENSIS,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA IGNORATA,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA KRUCZAKIAE,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA MEXICANA,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA NIIGATENSIS,2,-,-,2,-,-,-,-,-,-,2
NOCARDIA NOVA,2,2,-,2,2,2,2,2,2,2,2
NOCARDIA OTITIDISCAVIARUM,2,2,-,2,2,2,2,2,2,2,2
NOCARDIA PAUCIVORANS,2,-,-,2,-,-,-,-,-,-,2
NOCARDIA PNEUMONIAE,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA PSEUDOBRASILIENSIS,2,-,-,2,-,-,-,-,2,-,2
NOCARDIA SALMONICIDA,2,-,-,2,-,-,-,-,2,-,2
NOCARDIA SERIOLAE,2,2,-,2,-,-,-,-,2,-,2
NOCARDIA TERPENICA,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA TRANSVALENSIS,2,2,-,2,-,-,-,-,2,-,2
NOCARDIA TSUNAMIENSIS,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA VETERANA,2,-,-,2,-,-,-,-,-,-,2
NOCARDIA WALLACEI,2,-,-,-,-,-,-,-,-,-,2
NOCARDIA YAMANASHIENSIS,2,-,-,2,-,-,-,-,-,-,2
NOCARDIOIDES,1,-,-,1,-,-,-,-,1,-,1
NOCARDIOPSIS DASSONVILLEI,2,2,-,2,-,-,-,-,2,-,2
NOCARDIOPSIS IGNORATA,2,-,-,-,-,-,-,-,-,-,2
NONOMURAEA,1,-,-,1,-,-,-,-,-,-,1
NONOMURIA,1,-,-,-,-,-,-,-,-,-,1
NOVISPIRILLUM,1,-,-,-,-,-,-,-,-,-,1
NOVOSPHINGOBIUM,1,-,1,1,-,-,-,-,-,-,1
,NA,,,,,,,,,,NA
OBESUMBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
OCEANIBULBUS,1,-,-,1,-,-,-,-,-,-,1
OCEANICAULIS,1,-,-,1,-,-,-,-,-,-,1
OCEANICOLA,1,-,-,1,-,-,-,-,-,-,1
OCEANIMONAS,1,-,-,1,-,-,-,-,-,-,1
OCEANISERPENTILLA,1,-,-,-,-,-,-,-,-,-,1
OCEANISPHAERA,1,-,-,1,-,-,-,-,-,-,1
OCEANOBACILLUS,1,-,-,1,-,-,-,-,-,-,1
OCEANOBACTER,1,-,-,1,-,-,-,-,-,-,1
OCEANOMONAS,1,-,-,-,-,-,-,-,-,-,1
OCEANOSPIRILLUM,1,-,-,1,-,-,-,-,1,-,1
OCHROBACTRUM ANTHROPI,2,2,1  2,2,-,-,-,-,2,-,2
OCHROBACTRUM INTERMEDIUM,2,-,-,2,-,-,-,-,-,-,2
OCTADECABACTER,1,-,-,1,-,-,-,-,-,-,1
ODONTOMYCES,1,-,-,-,-,-,-,-,-,-,1
ODORIBACTER SPLANCHNICUS,2,-,-,-,-,-,-,-,-,-,2
OENOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
OERSKOVIA,1,-,-,1,-,-,-,-,1,-,1
OKIBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
OLEIPHILUS,1,-,-,1,-,-,-,-,-,-,1
OLEISPIRA,1,-,-,1,-,-,-,-,-,-,1
OLIGELLA UREOLYTICA,-,2,-,1,-,-,-,-,1,-,1
OLIGELLA URETHRALIS,-,-,2,1,-,-,-,-,1,-,1
OLIGOTROPHA,1,-,-,1,-,-,-,-,1,-,1
OLIVIBACTER,1,-,-,-,-,-,-,-,-,-,1
OLSENELLA PROFUSA,2,-,-,2,-,-,-,-,-,-,2
OLSENELLA ULI,2,2,-,2,-,-,-,-,-,-,2
OPITUTUS,1,-,-,1,-,-,-,-,-,-,1
ORENIA,1,-,-,1,-,-,-,-,1,-,1
ORIBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
ORIENTIA TSUTSUGAMUSHI,-,3,-,3,-,3,3,3,3,-,3
ORNITHINIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
ORNITHINICOCCUS,1,-,-,-,-,-,-,-,-,-,1
ORNITHINIMICROBIUM,1,-,-,1,-,-,-,-,-,-,1
ORNITHOBACTERIUM RHINOTRACHEALE,2,2,-,2,-,-,-,-,2,-,2
OSCILLIBACTER,1,-,-,-,-,-,-,-,-,-,1
OTTOWIA,1,-,-,1,-,-,-,-,-,-,1
OWENWEEKSIA,1,-,-,-,-,-,-,-,-,-,1
OXALICIBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
OXALOBACTER,1,-,-,1,-,-,-,-,1,-,1
OXALOPHAGUS,1,-,-,1,-,-,-,-,1,-,1
OXOBACTER,1,-,-,1,-,-,-,-,1,-,1
,,,,,,,,,,,NA
PAENIBACILLUS LARVAE,1,-,-,1,-,3,-,-,2,-,1
PAENIBACILLUS LENTIMORBUS,-,2,-,1,-,-,-,-,-,-,1
PAENIBACILLUS POPILIAE,-,2,-,1,-,-,-,-,2,-,1
PALUDIBACTER,1,-,-,-,-,-,-,-,-,-,1
PALUDIBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
PANDORAEA APISTA,2,-,-,2,-,-,-,-,-,-,2
PANDORAEA PNOMENUSA,2,-,-,2,-,-,-,-,-,-,2
PANDORAEA PULMONICOLA,2,-,-,2,-,-,-,-,-,-,2
PANDORAEA SPUTORUM,2,-,-,2,-,-,-,-,-,-,2
PANNONIBACTER,1,-,-,1,-,-,-,-,-,-,1
PANTOEA AGGLOMERANS,2,-,2,-,-,-,-,2,-,,2
PANTOEA STEWARTII,-,-,-,-,-,-,-,-,2,-,2
PAPILLIBACTER,1,-,-,1,-,-,-,-,-,-,1
PARABACTEROIDES DISTASONIS,2,2,2,-,-,-,-,-,-,-,2
PARACOCCUS YEEII,1,-,-,2,-,-,-,-,-,-,1
PARACOLOBACTRUM,1,-,-,-,-,-,-,-,-,-,1
PARALACTOBACILLUS,1,-,-,1,-,-,-,-,-,-,1
PARALIOBACILLUS,1,-,-,1,-,-,-,-,-,-,1
PARAMORITELLA,1,-,-,-,-,-,-,-,-,-,1
PARASCARDOVIA,1,-,-,1,-,-,-,-,-,-,1
PARVIBACULUM,1,-,-,1,-,-,-,-,-,-,1
PARVIMONAS MICRA,2,-,-,-,-,-,-,-,-,-,2
PARVOPOLYSPORA,1,-,-,-,-,-,-,-,-,-,1
PASTEURELLA AEROGENES,-,2,2,1,2,2,2,2,1,2,2
PASTEURELLA BETTYAE,-,2,-,2,2,2,2,2,2,2,2
PASTEURELLA CABALLI,-,2,-,2,2,2,2,2,2,2,2
PASTEURELLA CANIS,-,2,-,2,2,2,2,2,2,2,2
PASTEURELLA DAGMATIS,-,2,-,2,2,2,2,2,2,2,2
PASTEURELLA HAEMOLYTICA,-,-,-,-,-,3,2,2,2,2,2
PASTEURELLA LYMPHANGITIDIS,-,2,-,2,2,2,2,2,2,2,2
PASTEURELLA MAIRII,2,2,-,2,2,2,2,2,2,2,2
PASTEURELLA MULTOCIDA,2,2,2,2,2,2  3,2,2,2,2,2
PASTEURELLA PNEUMOTROPICA,2,2,-,2,2,2,2,2,2,2,2
PASTEURELLA STOMATIS,-,2,-,2,2,2,2,2,2,2,2
PASTEURELLA TESTUDINIS,-,2,-,2,2,2,2,2,2,2,2
PASTEURELLA TREHALOSI,-,2,-,2,2,2,2,2,2,2,2
PASTEURIA NISHIZAWAE,1,2,-,1,-,2,-,-,1,-,1
PASTEURIA PENETRANS,1,2,-,1,-,2,-,-,1,-,1
PASTEURIA THRONEI,1,2,-,1,-,-,-,-,1,-,1
PATULIBACTER,1,-,-,-,-,-,-,-,-,-,1
PAUCIBACTER,1,-,-,-,-,-,-,-,-,-,1
PAUCIMONAS,1,-,-,1,-,-,-,-,-,-,1
PAUCISALIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
PECTINATUS,1,-,-,1,-,-,-,-,1,-,1
PECTOBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
PEDIOCOCCUS,1,-,1,1,-,-,-,-,1,-,1
PEDOBACTER,1,-,-,1,-,-,-,-,-,-,1
PELAGIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
PELCZARIA,1,-,-,1,-,-,-,-,1,-,1
PELOBACTER,1,-,-,1,-,-,-,-,1,-,1
PELODICTYON,1,-,-,1,-,-,-,-,1,-,1
PELOMONAS,1,-,-,-,-,-,-,-,-,-,1
PELOSINUS,1,-,-,-,-,-,-,-,-,-,1
PELOSPORA,1,-,-,1,-,-,-,-,-,-,1
PELOTOMACULUM,1,-,-,1,-,-,-,-,-,-,1
PEPTOCOCCUS NIGER,2,2,-,2,-,OP,-,-,2,-,2
PEPTONIPHILUS ASACCHAROLYTICUS,2,2,1  2,2,-,-,-,-,-,-,1
PEPTONIPHILUS GORBACHII,2,-,-,-,-,-,-,-,-,-,2
PEPTONIPHILUS HAREI,2,-,-,2,-,-,-,-,-,-,2
PEPTONIPHILUS INDOLICUS,2,2,-,2,-,-,-,-,-,-,2
PEPTONIPHILUS IVORII,2,-,-,2,-,-,-,-,-,-,2
PEPTONIPHILUS LACRIMALIS,2,2,-,2,-,-,-,-,-,-,2
PEPTONIPHILUS OLSENII,2,-,-,-,-,-,-,-,-,-,2
PEPTOSTREPTOCOCCUS ANAEROBIUS,-,2,2,1,2,2,2,2,2,2,2
PEPTOSTREPTOCOCCUS ASACCHAROLYTICUS,-,-,-,-,-,-,-,2,2,,2
PEPTOSTREPTOCOCCUS HAREI,-,-,-,-,-,-,-,-,2,2,2
PEPTOSTREPTOCOCCUS INDOLICUS,-,-,-,-,-,-,-,-,2,2,2
PEPTOSTREPTOCOCCUS IVORII,-,-,-,-,-,-,-,-,2,2,2
PEPTOSTREPTOCOCCUS LACRIMALIS,-,-,-,-,-,-,-,-,2,2,2
PEPTOSTREPTOCOCCUS MAGNUS,-,-,-,-,-,-,-,-,2,2,2
PEPTOSTREPTOCOCCUS PREVOTII,-,-,-,-,-,-,-,-,2,2,2
PEPTOSTREPTOCOCCUS VAGINALIS,-,-,-,-,-,-,-,-,2,2,2
PEREDIBACTER,1,-,-,1,-,-,-,-,-,-,1
PERLUCIDIBACA,1,-,-,-,-,-,-,-,-,-,1
PERSEPHONELLA,1,-,-,1,-,-,-,-,-,-,1
PERSICIVIRGA,1,-,-,-,-,-,-,-,-,-,1
PETRIMONAS,1,-,-,-,-,-,-,-,-,-,1
PETROBACTER,1,-,-,1,-,-,-,-,-,-,1
PETROTOGA,1,-,-,1,-,-,-,-,1,-,1
PHAEOBACTER,1,-,-,-,-,-,-,-,-,-,1
PHAEOSPIRILLUM,1,-,-,1,-,-,-,-,-,-,1
PHASCOLARCTOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
PHENYLOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
PHOCOENOBACTER,1,-,-,1,-,-,-,-,-,-,1
PHOTOBACTERIUM DAMSELAE,1,2,-,2,-,2,-,-,2,-,2
PHOTORHABDUS ASYMBIOTICA,2,-,-,2,-,-,-,-,-,-,2
PHOTORHABDUS LUMINESCENS,-,2,-,1,-,-,-,-,1,-,1
PHYCICOCCUS,1,-,-,-,-,-,-,-,-,-,1
PHYCICOLA,1,-,-,-,-,-,-,-,-,-,1
PHYLLOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
PHYTOBACTER,1,-,-,-,-,-,-,-,-,-,1
PHYTOMONAS,1,-,-,-,-,-,-,-,-,-,1
PIGMENTIPHAGA,1,-,-,1,-,-,-,-,-,-,1
PILIMELIA,1,-,-,1,-,-,-,-,1,-,1
PIMELOBACTER,1,-,-,-,-,-,-,-,-,-,1
PIRELLA,1,-,-,-,-,-,-,-,-,-,1
PIRELLULA,1,-,-,1,-,-,-,-,1,-,1
PISCIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
PISCIRICKETTSIA SALMONIS,-,-,-,-,-,2,-,-,2,-,2
PLANCTOMYCES,1,-,-,1,-,-,-,-,1,-,1
PLANIFILUM,1,-,-,-,-,-,-,-,-,-,1
PLANOBISPORA,1,-,-,1,-,-,-,-,1,-,1
PLANOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
PLANOMICROBIUM,1,-,-,1,-,-,-,-,-,-,1
PLANOPOLYSPORA,1,-,-,-,-,-,-,-,-,-,1
PLANOSPORANGIUM,1,-,-,-,-,-,-,-,-,-,1
PLANOTETRASPORA,1,-,-,1,-,-,-,-,1,-,1
PLANTIBACTER,1,-,-,1,-,-,-,-,-,-,1
PLEOMORPHOMONAS,1,-,-,-,-,-,-,-,-,-,1
PLESIOCYSTIS,1,-,-,1,-,-,-,-,-,-,1
PLESIOMONAS SHIGELLOIDES,2,2,2,2,2,2,2,2,2,2,2
PODANGIUM,1,-,-,-,-,-,-,-,-,-,1
POLARIBACTER,1,-,-,1,-,-,-,-,-,-,1
POLAROMONAS,1,-,-,1,-,-,-,-,1,-,1
POLYANGIUM,1,-,-,1,-,-,-,-,1,-,1
POLYMORPHOSPORA,1,-,-,-,-,-,-,-,-,-,1
POLYNUCLEOBACTER NECESSARIUS,-,2,-,1,-,-,-,-,1,-,1
PONTIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
PONTIBACTER,1,-,-,-,-,-,-,-,-,-,1
PONTICOCCUS,1,-,-,-,-,-,-,-,-,-,1
PORPHYROBACTER,1,-,-,1,-,-,-,-,1,-,1
PORPHYROMONAS ASACCHAROLYTICA,2,2,-,2,2,2,2,2,2,2,2
PORPHYROMONAS CANSULCI,-,2,-,2,2,2,2,2,2,2,2
PORPHYROMONAS CANGINGIVALIS,-,2,-,2,2,2,2,2,2,2,2
PORPHYROMONAS CANORIS,-,2,-,2,2,2,2,2,-,2,2
PORPHYROMONAS CIRCUMDENTARIA,-,2,-,2,2,2,2,2,2,2,2
PORPHYROMONAS CREVIORICANIS,-,2,-,2,2,2,2,2,2,2,2
PORPHYROMONAS ENDODONTALIS,-,2,-,2,2,2,2,2,2,2,2
PORPHYROMONAS GINGIVALIS,2,2,2,2,2,2,2,2,2,2,2
PORPHYROMONAS GULAE,2,-,-,2,2,2,2,2,-,2,2
PORPHYROMONAS LEVII,-,2,2,2,2,2,2,2,2,2,2
PORPHYROMONAS MACACAE,2,2,-,2,2,2,2,2,2,2,2
PRAUSERELLA,1,-,-,1,-,-,-,-,-,-,1
PREVOTELLA ALBENSIS,2,-,-,2,2,2,2,2,2,2,2
PREVOTELLA BERGENSIS,2,-,-,-,2,2,2,2,-,2,2
PREVOTELLA BIVIA,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA BREVIS,-,2,-,2,2,2,2,2,2,2,2
PREVOTELLA BRYANTII,2,-,-,2,2,2,2,2,2,2,2
PREVOTELLA BUCCAE,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA BUCCALIS,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA CORPORIS,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA DENTICOLA,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA DISIENS,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA INTERMEDIA,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA LOESCHEII,2,2,2,2,2,2,2,2,2,2,2
PREVOTELLA MELANINOGENICA,2,2,2,2,2,2,2,2,2,2,2
PREVOTELLA NANCEIENSIS,2,-,-,-,2,2,2,2,-,2,2
PREVOTELLA NIGRESCENS,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA ORALIS,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA ORIS,2,2,-,2,2,2,2,2,2,2,2
PREVOTELLA PALLENS,2,-,-,2,2,2,2,2,-,2,2
PREVOTELLA TANNERAE,-,2,-,2,2,2,2,2,2,2,2
PROACTINOMYCES,1,-,-,-,-,-,-,-,-,-,1
PROMICROMONOSPORA,1,-,-,1,-,-,-,-,1,-,1
PROMYXOBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
PROPIONIBACTER,1,-,-,-,-,-,-,-,1,-,1
PROPIONIBACTERIUM ACNES,2,2,1,2,-,2,-,-,2,-,2
PROPIONIBACTERIUM AUSTRALIENSE,2,-,-,2,-,-,-,-,-,-,2
PROPIONIBACTERIUM AVIDUM,2,2,-,2,-,-,-,-,2,-,2
PROPIONIBACTERIUM GRANULOSUM,2,2,-,2,-,2,-,-,2,-,2
PROPIONIBACTERIUM PROPIONICUM,2,-,-,2,-,OP,-,-,2,-,2
PROPIONICIMONAS,1,-,-,1,-,-,-,-,-,-,1
PROPIONIFERAX,1,-,-,1,-,-,-,-,1,-,1
PROPIONIGENIUM,1,-,-,1,-,-,-,-,1,-,1
PROPIONIMICROBIUM,2,2,-,2,-,-,-,-,-,-,2
PROPIONISPIRA,1,-,-,1,-,-,-,-,1,-,1
PROPIONISPORA,1,-,-,1,-,-,-,-,-,-,1
PROPIONIVIBRIO,1,-,-,1,-,-,-,-,1,-,1
PROSTHECOBACTER,1,-,-,1,-,-,-,-,1,-,1
PROSTHECOCHLORIS,1,-,-,1,-,-,-,-,1,-,1
PROSTHECOMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
PROTAMINOBACTER,1,-,-,-,-,-,-,-,-,-,1
PROTEINIBORUS,1,-,-,-,-,-,-,-,-,-,1
PROTEINIPHILUM,1,-,-,-,-,-,-,-,-,-,1
PROTEUS HAUSERI,2,-,2,2,-,2,-,-,-,-,2
PROTEUS INCONSTANTS,-,2,-,2,-,2,-,-,2,-,2
PROTEUS MIRABILIS,2,2,2,2,2,2,2,2,2,2,2
PROTEUS MORGANII,-,2,-,2,-,2,2,-,2,-,2
PROTEUS PENNERI,2,2,-,2,2,2,-,2,2,2,2
PROTEUS SHIGELLOIDES,2,-,-,-,-,2,-,-,-,-,2
PROTEUS VULGARIS,2,2,2,2,2,2,2,2,2,2,2
PROTOMONAS,1,-,-,-,-,-,-,-,-,-,1
PROTOTHECA WICKERHAMII,-,-,1,-,-,-,-,-,-,-,1
PROVIDENCIA ALCALIFACIENS,2,2,2,2,2,2,2,2,2,2,2
PROVIDENCIA RETTGERI,2,2,2,2,2,2,2,2,2,2,2
PROVIDENCIA RUSTIGIANII,2,2,-,2,2,2,2,2,2,2,2
PROVIDENCIA STUARTII,2,2,1,2,2,2,2,2,2,2,2
PSEUDACIDOVORAX,1,-,-,-,-,-,-,-,-,-,1
PSEUDIDIOMARINA,1,-,-,-,-,-,-,-,-,-,1
PSEUDOALTEROMONAS PISCICIDA,1,-,-,1,-,-,-,-,2,-,1
PSEUDOAMYCOLATA,1,-,-,-,-,-,-,-,-,-,1
PSEUDOBUTYRIVIBRIO,1,-,-,1,-,-,-,-,1,-,1
PSEUDOCHROBACTRUM,1,-,-,-,-,-,-,-,-,-,1
PSEUDOCLAVIBACTER,1,-,-,1,-,-,-,-,-,-,1
PSEUDOMONAS AERUGINOSA,2,2,2,2,2,2,2,2,2,2,2
PSEUDOMONAS ALCALIGENES,2,2,-,2,-,-,-,-,2,-,2
PSEUDOMONAS ANGUILLISEPTICA,2,2,-,2,-,-,-,-,2,-,2
PSEUDOMONAS LUTEOLA,2,-,-,2,-,-,-,-,2,-,2
PSEUDOMONAS MENDOCINA,2,2,-,2,-,-,-,-,2,-,2
PSEUDOMONAS ORYZIHABITANS,2,-,-,2,-,-,-,-,2,-,2
PSEUDOMONAS OTITIDIS,2,-,-,-,-,-,-,-,-,-,2
PSEUDOMONAS PLECOGLOSSICIDA,2,-,-,2,-,-,-,-,-,-,2
PSEUDOMONAS PUTIDA,-,2,-,1,-,-,-,-,1,-,2
PSEUDOMONAS STUTZERI,-,2,-,1,-,-,-,-,1,-,2
PSEUDOMONAS SIMIAE,2,-,-,-,-,-,-,-,-,-,2
PSEUDONOCARDIA,1,-,-,1,-,-,-,-,1,-,1
PSEUDORAMIBACTER ALACTOLYTICUS,2,2,-,2,-,-,-,-,2,-,2
PSEUDORHODOBACTER,1,-,-,1,-,-,-,-,-,-,1
PSEUDOSPHINGOBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
PSEUDOSPIRILLUM,1,-,-,1,-,-,-,-,-,-,1
PSEUDOVIBRIO,1,-,-,-,-,-,-,-,-,-,1
PSEUDOXANTHOBACTER,1,-,-,-,-,-,-,-,-,-,1
PSEUDOXANTHOMONAS,1,-,-,1,-,-,-,-,-,-,1
PSYCHRILYOBACTER,1,-,-,-,-,-,-,-,-,-,1
PSYCHROBACTER PHENYLPYRUVICUS,2,2,-,2,-,-,-,-,2,-,2
PSYCHROBACTER PULMONIS,2,-,-,2,-,-,-,-,-,-,2
PSYCHROMONAS,1,-,-,1,-,-,-,-,-,-,1
PSYCHROSERPENS,1,-,-,1,-,-,-,-,1,-,1
PULLULANIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
PUSILLIMONAS,1,-,-,-,-,-,-,-,-,-,1
PYXICOCCUS,1,-,-,1,-,-,-,-,-,-,1
PYXIDICOCCUS,1,-,-,-,-,-,-,-,-,-,1
,,,,,,,,,,,NA
QUADRICOCCUS,-,-,-,1,-,-,-,-,-,-,1
QUADRISPHAERA,1,-,-,-,-,-,-,-,-,-,1
QUINELLA,-,-,-,1,-,-,-,-,1,-,1
,,,,,,,,,,,NA
RAHNELLA,1,-,-,1,-,-,-,-,1,-,1
