Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
other	2006	10.1099/ijs.0.63735-0	 AY628423	59.7	aerobic	1.3-2	0.6-0.8	flagella	no	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive, urease positive"	Stappia	marina	mano18	7	7	26-30	26-30	03-Jun	03-Jun	yes	rod	chain	75	KCTC12288|DSM17023	glucose		negative	tidal flat sediment	No
other	2006	10.1099/ijs.0.63678-0	 AY667494	43	aerobic	1.3-1.9	0.3-0.5	non-motile	not indicated	"aesculin hydrolysis, catalase positive, oxidase positive"	Bacillus	salarius	BH169	8	6.8-9.5	30	15-40	10-Dec	Mar-20	yes	rod	chain	373	KCTC3912|DSM16461	"arabinose, fructose, glucose, glycerol, lactose, maltose, mannitol, mannose, melibiose, rhamnose, salicin"		positive	saline lake	No
hotspring	2006	10.1099/ijs.0.63961-0	 AY673988	49.5	anaerobic	01-Jun	0.5	"motile, but unspecified structure"	yes		Carboxydocella	sporoproducens	Kar	06-Aug	06-Aug	60	50-70	0	0	yes	rod	chain	797	DSM16521|VKMB-2358			positive		No
other	2005	10.1099/ijs.0.63411-0	 AY676463	44	aerobic	1.25	0.45		no	"catalase positive, oxidase positive"	Hahella	ganghwensis	FR1050T	7.5	05-Oct	35	15-40	5	01-Oct		rod	not indicated	681	KCTC12277T|JCM12486T	"malate, N-acetylgulcosamine"		negative	tidal flat sediment 	No
other	2006	10.1099/ijs.0.63686-0	 AY682207	53.9-54.3	anaerobic	3.6-7.3	0.9-1	"motile, but unspecified structure"	yes	aesculin hydrolysis	Sporacetigenium	mesophilum	ZLJ115	6.5-7	5-9.5	37	20-42	0	0	yes	rod	chain	721	DSM16796|AS1.5019	"arabinose, fructose, galactose, rhamnose, ribose, xylose"		positive	sludge of anaerobic digester treating municipal solid waste and sewage	No
seawater	2005	10.1099/ijs.0.63492-0	 AY739663	40.3	aerobic	3	0.25	gliding	no	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Marinicola	seohaensis	SW-152T	7.5	5.5-8.0	30	Apr-40	2.5	<9	yes	rod		859	KCTC12312T|JCM12600T	"Tween 20, Tween 40, Tween 60, Tween 80"		negative		No
other	2006	10.1099/ijs.0.64009-0	 AY769997		facultative anaerobe		03-0.7	non-motile	no		Streptococcus	massiliensis	4401825	7	7	37	25-37	2	2	yes	cocci	chain	1127	CIP108498|CCUG49690	maltose		positive	human blood sample	No
soil	2008	10.1099/ijs.0.65733-0	 AY829448	37.9	facultative anaerobe	2.4-3	0.4-0.5	flagella	yes	"aesculin hydrolysis, catalase positive, oxidase positive"	Bacillus	alkalitelluris	BA288	9-9.5	07-Nov	30	15-40	0-1	0-4	yes	rod	chain	2629	KCTC3947|DSM16976	"acetate, citric acide (citrate), formic acid, glutamic acid, malate, succinic acid (succinate), xylose"		positive		No
other	2008	10.1099/ijs.0.2008/000067-0	 AY864633	48.5	aerobic	1.5	1.15	"motile, but unspecified structure"	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, oxidase positive"	Exiguobacterium	soli	DVS 3Y	7	06-Oct	25	2.5-30	0-5.8	0-5.8	yes	cocci	chain	2447	MTCC4816|JCM14376	"5-ketoguconate, alanine, alanine, arabinose, arginine, asparagine, cellobiose, dextrin, fructose, galactose, glucose, glutamic acid, glycine, glycogen, histidine, lactate, lactose, leucine, maltose, mannose, melibiose, ornithine, proline, pyruvic acid (pyruvate), raffinose, rhamnose, ribose, sorbitol, sucrose, trehalose, xylose"		positive	moraine sample	No
seawater	2006	10.1099/ijs.0.64132-0	 AY894336	65.4	aerobic			non-motile	yes		Williamsia	marianensis	MT8	7	7	28	Apr-30	05-Jul	05-Jul	yes	ovoid/coccobacillus	chain	1123	DSM44944|NCIMB14085	"arabinose, fructose, mannitol, mannose, rhamnose, sorbitol, sucrose, trehalose, xylitol"		positive		No
soil	2006	10.1099/ijs.0.64007-0	 AY941086		aerobic			non-motile	no	oxidase positive	Deinococcus	ficus	CC-FR2-10	7	5.5-10	37	Oct-40	0	0	yes	rod	chain	787	CCUG53391|CIP108832	"acetate, arabinose, dextrin, fructose, fucose, galactose, gluconic acid, glucose, lactate, lactose, malate, maltose, mannitol, mannose, melibiose, N-acetylgulcosamine, propionic acid (propionate), pyruvic acid (pyruvate), pyruvic acid methyl ester, raffinose, rhamnose, ribose, serine, sorbitol, succinic acid (succinate), sucrose, trehalose, xylose"		positive		Yes
other	2006	10.1099/ijs.0.63881-0	 DQ000196	72.5	aerobic			not indicated	yes	"catalase positive, nitrate reduction to nitrite, oxidase positive, urease positive"	Amycolatopsis	halotolerans	N4-6	7	7	Oct-37	Oct-37	7	7	yes	rod	chain	549	NRRLB-24428|JCM13279	"adonitol, cellobiose, fructose, galactose, glycerol, mannitol, mannose, melibiose, ribose, sucrose, xylose"		positive	natural cave	No
seawater	2006	10.1099/ijs.0.63847-0	 DQ017065	36.9	aerobic	Jan-30	0.4-0.6	non-motile	no	aesculin hydrolysis	Donghaeana	dokdonensis	DSW-6	07-Aug	5.5-8	25	Apr-32	2	02-Aug	yes	rod	chain	187	KCTC12402|DSM17205	"Tween 20, Tween 40"		negative		No
other	2008	10.1099/ijs.0.64082-0	 DQ017708	68.3	aerobic	2.5-3		not indicated	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Deinococcus	aquaticus	PB314	7	6-9.5	30	20-37	0-3	0-3	yes	rod	chain	2348	KCTC12552|NBRC101311	"glucose, glycogen, maltose, N-acetylgulcosamine, proline, sucrose"		negative	activated sludge	No
other	2006	10.1099/ijs.0.64180-0	 DQ017835	60.5	aerobic		0.8-1.2	non-motile	no	catalase positive	Halococcus	hamlinensis	100A6	7	04-Sep	37	37	15	12.5-30	yes	cocci	chain	1323	JCM12892|ACM5227	"glucose, glycerol, maltose, sucrose, trehalose, xylose"		negative	stromatolites	No
soil	2006	10.1099/ijs.0.63876-0	 DQ059617	73	aerobic			non-motile	no	catalase positive	Kocuria	aegyptia	YIM 70003	10-10.5	05-Dec	28	20-40	3	01-May	yes	cocci	chain	733	CCTCCAA203006|CIP107966|KCTC19010|DSM17006	"cellobiose, dextrin, fructose, glucose, maltose, mannose, sorbitol, trehalose"		positive		No
other	2006	10.1099/ijs.0.63908-0	 DQ064789	41	aerobic	2.5		gliding	no	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Stenothermobacter 	spongiae	 UST030701-156	7	06-Oct	28-30	20-36	02-Jun	02-Jun	no	rod	chain	181	NRRLB-41138|JCM13191	"arabinose, galactose, glucose, glycerol, mannitol, melibiose, sorbitol, sucrose"		negative	marine sponge	No
other	2008	10.1099/ijs.0.65462-0	 DQ097300	67.1	aerobic		0.5-3	non-motile	no		Amorphus	coralli	RS.Sph.026	7.5-8	7.5-8	25-30	25-30	03-Apr	03-Apr	yes	rod	chain	2704	LMG24307|DSM19760	"arabinose, glucose, histidine, maltose, mannitol, mannose, ornithine, propionic acid (propionate), sorbitol, succinic acid (succinate)"		negative	mucus of coral	No
seawater	2006	10.1099/ijs.0.64272-0	 DQ118426	61.9	aerobic	1.5-3	0.6	"motile, but unspecified structure"	no	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Halorubrum	ezzemoulense	5.1	7-7.5	6.5-9	37-40	22-50	20	15-25	yes	ovoid/coccobacillus	chain	1583	CECT7099|DSM17463	"acetate, arabinose, citric acide (citrate), glucose, glycerol, malate, maltose, mannitol, sucrose"		negative		No
soil	2006	10.1099/ijs.0.64092-0	 DQ178979	49	aerobic	0.8-2.5	0.4-0.6	non-motile	no	aesculin hydrolysis	Algoriphagus	terrigena	DS-44	6.5-7.5	5.5-7.5	25	Oct-36	2	02-Jun	yes	rod	chain	777	KCTC12545|CIP108837	"cellobiose, fructose, galactose, maltose, salicin, sucrose, trehalose, xylose"		negative		No
other	2008	10.1099/ijs.0.65697-0	 DQ191183	59.5	aerobic	1-2.8	0.3-0.5	non-motile	no	"catalase positive, gelatinase"	Croceitalea	eckloniae	DOKDO 025	8	6.5-10	29	Oct-34	1.6	0.4-5.4	yes	rod	chain	2505	KCCM42309|JCM13827	"cellobiose, fructose, galactose, glucose, glycogen, maltose, mannose, melibiose, N-acetylgulcosamine, ribose, sucrose, trehalose"		negative	rhizosphere of brown alga	Yes
soil	2007	10.1099/ijs.0.64749-0	 DQ203185	72.9	facultative aerobe	1.7	0.75	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Georgenia	ruanii	YIM 004T 	7	6.5-10	29	Oct-37	2.5	0.0-5.0		rod		1424	CCTCCAB204065T|DSM17458T|KCTC19029T	"adonitol, arabinose, arabitol, cellobiose, dextrin, fructose, galactose, galcturonic acid, glucose, lactose, maltose, mannitol, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sorbitol, sucrose, Tween 20, Tween 80, xylitol, xylose"		positive		No
other	2007	10.1099/ijs.0.64476-0	 DQ235687		aerobic			non-motile	yes	"catalase positive, urease positive"	Nocardia	ninae	OFN 02.72T			31	25-37			yes	not indicated	not indicated		CIP108955T|DSM44978T	"arabinose, galactose, glucose, maltose"	DQ250023	positive	human respiratory sample	No
hotspring	2006	10.1099/ijs.0.64193-0	 DQ295805	64.9	aerobic	01-Feb	0.5-1	flagella	no	"aesculin hydrolysis, catalase positive, oxidase positive, urease positive"	Tepidicella	xavieri	TU-16	8.5-9	6.5-10.5	45	25-55	0-2	0-2	yes	rod	chain	907	LMG23030|CIP108724	"aspartic acid (aspartate), citric acide (citrate), histidine, leucine, malate, phenylalanine, serine, tryptophan"		negative		No
"freshwater (river, lake, pond)"	2007	10.1099/ijs.0.64927-0	 DQ298025	49.9	aerobic	1.7	0.5	flagella	not indicated	"acid phosphatase, alkaline phosphatase, gelatinase, nitrate reduction to nitrite, oxidase positive"	Rheinheimera	chironomi	K19414T			33.5	Apr-40	0.75	0-2	no	rod	clump	1872	LMG23818T|DSM18694T	"alanine, alanine, galactose, glucose, malate, maltose, N-acetylgulcosamine, pyruvic acid methyl ester, succinic acid (succinate), sucrose, Tween 40, Tween 80"		negative		Yes
"freshwater (river, lake, pond)"	2007	10.1099/ijs.0.64541-0	 DQ364433		aerobic	0.85	0.45	non-motile	not indicated	"catalase positive, oxidase positive"	Methylocystis	hirsuta	CSC1T	7	5.0-8.0	30	<37					clump	1891	ATCCBAA-1344T|DSM18500T	"asparagine, aspartic acid (aspartate), ornithine, putrescine"		negative		No
seawater	2009	10.1099/ijs.0.002774-0	 DQ401091	66.3	aerobic	1.85	0.75	flagella	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, nitrate reduction to nitrite"	Pelagibius	litoralis	CL-UU02T	7.5	06-Nov	29	15-33	3.5	02-Jun		rod	clump	818	KCCM42323T|JCM15426T	"arabinose, galactose, glucose, mannitol, mannose, pyruvic acid (pyruvate), succinic acid (succinate), xylose"		negative		No
seawater	2007	10.1099/ijs.0.64649-0	 DQ401093	72.9	aerobic	1-1.8	0.4-0.6	non-motile	no	catalase positive	Nocardioides	marinus	CL-DD14T 	07-Aug	06-Sep	25-30	Oct-40	01-Mar	0.5-8	yes	rod	not indicated	775	KCCM42321T|DSM18248T	"asparagine, rhamnose"		positive		No
"freshwater (river, lake, pond)"	2007	10.1099/ijs.0.64872-0	 DQ453131	49.2	facultative anaerobe	2.0-12.4	0.8-1.0	"motile, but unspecified structure"	yes	"aesculin hydrolysis, catalase positive, H2S production, urease positive"	Paenibacillus	 fonticola	ZLT	8.5	07-Oct	32.5	20-45			NA	rod	not indicated	1346	BCRC17579T|LMG23577T	"arabinose, cellobiose, citric acide (citrate), dextrin, glucose, mannitol, melibiose, rhamnose, sorbitol, sucrose, trehalose, Tween 80"		variable		Yes
other	2007	10.1099/ijs.0.64677-0	 DQ680836	45.6	aerobic			non-motile	no	"catalase positive, oxidase positive"	Parapedobacter	koreensis	Jip14T			37	Apr-42	3.5	03-Apr	yes	rod	not indicated	1336	KCTC12643T|LMG23493T	"fucose, glucose, maltose, mannitol, mannose, N-acetylgulcosamine, ribose, salicin, serine, sorbitol, sucrose"		negative	dried rice straw	No
other	2010	10.1099/ijs.0.011759-0	 DQ852338	41	anaerobic	0.6-2	0.5-0.8	non-motile	no	aesculin hydrolysis	Proteiniclasticum	ruminis	D3RC-2	7-7.3	5.6-8.7	38-39	24-46	0	0	no	rod	chain	2221	AS1.5057|JCM14817	"histidine, leucine, phenylalanine, serine, threonine"		negative	yak rumen	No
soil	2007	10.1099/ijs.0.65028-0	 EF012357.	66.2		0.5-2.0	0.3-0.5	flagella		urease positive	Devosia	insulae	DS-56T	7	6.5-7.5	25	Oct-31	0.5	0-2	yes	rod	not indicated	1310	KCTC12821T|DSM17955T			negative		No
wastewater	2007	10.1099/ijs.0.64936-0	 EF076759	36.8	aerobic	0.8-5.0	0.4-0.6	non-motile	no	"catalase positive, oxidase positive"	Chryseobacterium	daeguense	 K105T 	6.5-7.5	5-9.5	30-37	Oct-41	0-1	0-2	yes	rod	not indicated	1355	KCTC12841T|JCM14362T	"arabinose, cellobiose, fructose, glucose, maltose, rhamnose, trehalose, xylose"		negative		No
other	2007	10.1099/ijs.0.64910-0	 EF100694	70	anaerobic	0.7-7.0	0.5-0.7	flagella	no	nitrate reduction to nitrite	Caenispirillum	bisanense	K92T 	07-Aug	6.5-10	37	15-47	2.75	0.5-5.0	yes	spirillum/corkscrew	not indicated	1217	KCTC12839T|JCM14346T	"citric acide (citrate), gluconic acid, glycerol, malate, ribose"		negative	sludge	No
soil	2008	10.1099/ijs.0.65765-0	 EF114314	77	aerobic			non-motile	yes	"catalase positive, urease positive"	Pseudonocardia	carboxydivorans	Y8	7	7	25	Mar-37	0-4	0-4	yes	rod	chain	2475	KCCM42678|JCM14827	N-acetylgulcosamine		positive		No
wastewater	2011	10.1099/ijs.0.022228-0	 EF125187	60.9	aerobic			flagella	no		Rhizobium	borbori	DN316T	6.9	5.0-9.0	28	4.0-37	0.25	0.0-0.5		rod		816	CICC10378T|5LMG23925T	"acetate, arabinose, arabitol, cellobiose, fructose, fucose, galactose, glucose, maltose, mannitol, mannose, propionic acid (propionate), sorbitol, sucrose, trehalose"		negative		No
seawater	2008	10.1099/ijs.0.65820-0	 EF192392	47	aerobic	1.2-1.8	0.5-0.9	non-motile	no	"catalase positive, oxidase positive"	Pelagicola	litoralis	CL-ES2	7	06-Aug	25	20-30	03-Apr	02-Jun	yes	cocci	chain	2102	KCCM42274|DSM18290	"acetate, glucose, proline, serine, Tween 80"		negative		No
hotspring	2010	10.1099/ijs.0.012328-0	 EF195126	34.2	anaerobic	2.5	0.4	not indicated	yes	H2S production	Caldanaerobacter	uzonensis	K67	6.8	4.8-8	69	50-75	0.5	0-2	NA	rod	not indicated	1372	DSM=18923|VKM=B-2408	"arabinose, mannose, sucrose, xylose"		NA		No
seawater	2012	10.1099/ijs.0.030106-0	 EF217418	48.5	aerobic	0.5-3.0	0.3-0.5	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, oxidase positive"	Algoriphagus	jejuensis	CNU040	Not indicated	5.5-10.0	25	4/30/2014	Not indicated	0-5%	yes	rod	not indicated	409	KCTC=22647|JCM=16112	"malate, Tween 20, Tween 40, Tween 60, Tween 80"		negative		No
other	2009	10.1099/ijs.0.005447-0	 EF433461		aerobic			flagella	no	"aesculin hydrolysis, oxidase positive, urease positive"	Devosia	crocina	IPL20T	7	05-Sep	18.5	May-32		<3	yes	ovoid/coccobacillus	not indicated	795	CCM7425T|MTCC8590T	"arabinose, fructose, galactose, lactose, maltose, mannitol, mannose, xylose"		negative	dump site	No
other	2010	10.1099/ijs.0.003152-0	 EF457243 	63.1	aerobic	0.7-2	0.5-1	non-motile		"catalase positive, oxidase positive"	Chelativorans	Chelativorans multitrophicus	DSM 9103	6.5-7.5		25-35				NA	rod	not indicated	1044	VKMB-2394	"acetate, glucose, glutamic acid, lactate, succinic acid (succinate)"		negative	industrial wastewater treatment plants	No
soil	2010	10.1099/ijs.0.019059-0	 EF466117	68.7	aerobic	0.9-1.4	0.3-0.8	"motile, but unspecified structure"	no	"acid phosphatase, alkaline phosphatase, catalase positive"	Nocardioides	mesophilus	MSL-22	7-7.5		28	20-37	0	0	yes	rod	chain	2288	DSM19432|KCTC19310	"mannitol, raffinose"		positive		No
soil	2008	10.1099/ijs.0.2008/001222-0	 EF466125	71	aerobic	0.5-0.8	0.4-0.6	non-motile	not indicated	"aesculin hydrolysis, H2S production, nitrate reduction to nitrite"	Microbacterium	kribbense	MSL-04	7.2-7.4	07-Nov	28	20-37	0-3	0-3	yes	rod	chain	2536	KCTC19269|DSM19265	"arabinose, galactose, glucose, maltose, mannitol, mannose, melibiose, raffinose, rhamnose, sucrose, trehalose"		positive		No
soil	2008	10.1099/ijs.0.65637-0	 EF466126	67.5	aerobic			"motile, but unspecified structure"	no	catalase positive	Frigoribacterium	mesophilum	MSL-08	7.3	6.5-12	28	20-28	0-3	0-3	yes	rod	chain	1869	DSM19442|KCTC19311	"arabinose, cellobiose, galactose, glucose, maltose, mannitol, mannose, salicin, sucrose, trehalose, xylose"		positive		No
soil	2008	10.1099/ijs.0.65563-0	 EF466128	73.4	aerobic		0.4-0.5	non-motile	no	nitrate reduction to nitrite	Phycicoccus	bigeumensis	MSL-03	7.4	07-Dec	28	20-37	0-5	0-5	yes	cocci	chain	2425	KCTC19266|DSM19264	"arabinose, cellobiose, fructose, glucose, lactose, mannitol, mannose, melibiose, raffinose, rhamnose, trehalose"		positive		No
other	2008	10.1099/ijs.0.65202-0	 EF493847	70.5	aerobic	1.1-1.5	0.8-0.9	not indicated	no	aesculin hydrolysis	Phycicoccus	aerophilus	5516T-20	06-Jul	05-Sep	30	May-37	0-7	0-7	yes	rod	chain	2389	KACC20658|DSM18548	"3-hydroxybutyrate, fucose, glucose, glycogen, malate, mannitol, mannose, melibiose, N-acetylgulcosamine, propionic acid (propionate), salicin, sucrose"		positive	air sample	No
other	2008	10.1099/ijs.0.2008/000729-0	 EF527873	65.5	aerobic	04-Jun	0.8-1.2	"motile, but unspecified structure"	no	"catalase positive, H2S production, oxidase positive, urease positive"	Halomonas	salifodinae	BC7	7	06-Sep	30	Apr-48	3	0.5-20	yes	rod	chain	2855	CGMCC1.6774|JCM14803	"adonitol, alanine, alanine, arginine, aspartic acid (aspartate), citric acide (citrate), fructose, gluconic acid, glucose, glutamic acid, glycerol, histidine, lactate, malate, maltose, mannitol, ornithine, propionic acid (propionate), pyruvic acid (pyruvate), ribose, serine, sorbitol, succinic acid (succinate), sucrose, trehalose"		negative	salt mine	No
other	2010	10.1099/ijs.0.008995-0	 EF530202	66.9	aerobic	1.4	0.4	flagella	no	"catalase positive, nitrate reduction to nitrite"	Sphingomonas 	Sphingomonas histidinilytica	UM2	7.5		28	Apr-40	01/02/14		yes	not indicated	not indicated	1038	MTCC9473|CCM7545	"histidine, melibiose, ornithine, proline, serine, tryptophan, xylose"		negative	hexachlorocyclohexane dump site	No
hotspring	2010	10.1099/ijs.0.019042-0	 EF552404	37	anaerobic		01-Mar	non-motile	not indicated		Fervidicoccus	fontis	Kam940	5.5-6	4.5-7	65-70	55-85	0	0	no	cocci	not indicated	2082	DSM19380|VKMB-2539	"gelatin, pyruvic acid (pyruvate), rhamnose, sucrose"		NA		No
hotspring	2008	10.1099/ijs.0.2008/000182-0	 EF554597	56.2	anaerobic	03-Jun	0.6-0.7	flagella	yes	H2S production	Ammonifex	thiophilus	SR	6.8-7	6-7.5	75	60-82	0	0	yes	rod	chain	2935	DSM19636|VKMB-2461	formic acid		positive		No
soil	2008	10.1099/ijs.0.65608-0	 EF581819	50.6-51.6	facultative anaerobe	01-Apr	0.5	flagella	yes		Sporolactobacillus	vineae	SL153	06-Jul	04-Sep	37	25-40	0-7	0-7	yes	rod	chain	2316	KCTC5376|JCM14637	"fructose, glucose, mannitol, mannose, N-acetylgulcosamine, sorbitol"		positive	vineyard soil	No
soil	2008	10.1099/ijs.0.65295-0	 EF591302	39.9	aerobic	2.25	0.7	non-motile	not indicated	"catalase positive, oxidase positive"	Chryseobacterium	soli	JS6-6	6.5	05-Sep	29	May-30		0-3	yes	rod	not indicated	470	KACC=12502|DSM=19298	"glycogen, sucrose"		negative		No
other	2008	10.1099/ijs.0.65351-0	 EF601571	49	facultative anaerobe	3	0.95	flagella	not indicated	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Lentibacillus	salinarum	AHS-1	6.75	06-Jul	38.5	15-45	11	0-24	yes	rod	not indicated	45	KCTC=13162|CCUG=54822	"galactose, glucose, ribose"		positive	Marine solar saltern	No
other	2008	10.1099/ijs.0.2008/000455-0	 EF623999	66.8	aerobic	01-Feb	0.4-0.6	not indicated	no	"aesculin hydrolysis, catalase positive"	Microbacterium	profundi	Shh49	07-Aug	6-9.5	28	Apr-35	0-1	0-7.5	yes	rod	chain	2930	CGMCC1.6777|JCM14840	"acetate, arabinose, arginine, aspartic acid (aspartate), cellobiose, fructose, galactose, glucose, glycerol, lactate, lactose, malate, maltose, mannitol, mannose, propionic acid (propionate), pyruvic acid (pyruvate), raffinose, rhamnose, ribose, salicin, serine, succinic acid (succinate), sucrose, trehalose, xylose"		positive	deep-sea sediment sample	No
other	2008	10.1099/ijs.0.65618-0	 EF680886	65.5	aerobic	1.2-1.4	0.6-0.8	non-motile	no	catalase positive	Nesterenkonia	flava	CAAS 251	09-Oct	08-Dec	40-42	Oct-50	0	0-10	yes	rod	chain	1927	CCTCCAB207010|JCM14814	"arabinose, fructose, glucose, maltose, mannose, sucrose"		positive	paper-mill effluent	No
other	2008	10.1099/ijs.0.65527-0	 EF694028		facultative anaerobe			non-motile	no	aesculin hydrolysis	Lactococcus	chungangensis	CAU 28	7	7	30	Apr-30	0	0	yes	ovoid/coccobacillus	chain	1844	KCTC13185|CCUG55099	"fructose, glucose, maltose, mannitol, mannose, N-acetylgulcosamine, sucrose"		positive	activated sludge foam	No
other	2010	10.1099/ijs.0.015305-0	 EU004198	45.5	aerobic	2.5-25	0.3-0.9	non-motile	not indicated	catalase positive	Rhodocytophaga 	aerolata	5416T-29	7	07-Aug	30	Oct-35			yes	rod	chain	1554	KACC12507|DSM22190	"glucose, maltose, mannose, melibiose, rhamnose, salicin, sucrose"		negative	air	No
